symbol,yahoo_symbol,company_name,exchange
ADANIENT,ADANIENT.NS,Adani Enterprises,NSE
ADANIPORTS,ADANIPORTS.NS,Adani Ports and SEZ,NSE
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals,NSE
ASIANPAINT,ASIANPAINT.NS,Asian Paints,NSE
AXISBANK,AXISBANK.NS,Axis Bank,NSE
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto,NSE
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance,NSE
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv,NSE
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel,NSE
BPCL,BPCL.NS,Bharat Petroleum,NSE
BRITANNIA,BRITANNIA.NS,Britannia Industries,NSE
CIPLA,CIPLA.NS,Cipla,NSE
COALINDIA,COALINDIA.NS,Coal India,NSE
DIVISLAB,DIVISLAB.NS,Divi's Laboratories,NSE
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories,NSE
EICHERMOT,EICHERMOT.NS,Eicher Motors,NSE
GRASIM,GRASIM.NS,Grasim Industries,NSE
HCLTECH,HCLTECH.NS,HCL Technologies,NSE
HDFCBANK,HDFCBANK.NS,HDFC Bank,NSE
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance,NSE
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp,NSE
HINDALCO,HINDALCO.NS,Hindalco Industries,NSE
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever,NSE
ICICIBANK,ICICIBANK.NS,ICICI Bank,NSE
INDUSINDBK,INDUSINDBK.NS,IndusInd Bank,NSE
INFY,INFY.NS,Infosys,NSE
ITC,ITC.NS,ITC Limited,NSE
JSWSTEEL,JSWSTEEL.NS,JSW Steel,NSE
KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank,NSE
LT,LT.NS,Larsen & Toubro,NSE
M&M,M&M.NS,Mahindra & Mahindra,NSE
MARUTI,MARUTI.NS,Maruti Suzuki,NSE
NESTLEIND,NESTLEIND.NS,Nestlé India,NSE
NTPC,NTPC.NS,NTPC Limited,NSE
ONGC,ONGC.NS,Oil and Natural Gas Corporation,NSE
POWERGRID,POWERGRID.NS,Power Grid Corporation,NSE
RELIANCE,RELIANCE.NS,Reliance Industries,NSE
SBILIFE,SBILIFE.NS,SBI Life Insurance,NSE
SBIN,SBIN.NS,State Bank of India,NSE
SHREECEM,SHREECEM.NS,Shree Cement,NSE
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical,NSE
TATACONSUM,TATACONSUM.NS,Tata Consumer Products,NSE
TMPV,TATAMOTORS.NS,Tata Motors,NSE
TATASTEEL,TATASTEEL.NS,Tata Steel,NSE
TCS,TCS.NS,Tata Consultancy Services,NSE
TECHM,TECHM.NS,Tech Mahindra,NSE
TITAN,TITAN.NS,Titan Company,NSE
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement,NSE
UPL,UPL.NS,UPL Limited,NSE
WIPRO,WIPRO.NS,Wipro,NSE
